acceleration - x: -0.98541259765625, y: 0.059814453125, z: -0.089080810546875
acceleration - x: -0.9863433837890625, y: 0.0455474853515625, z: -0.086883544921875
acceleration - x: -0.99566650390625, y: 0.0488433837890625, z: -0.0969696044921875
acceleration - x: -0.9870758056640625, y: 0.056365966796875, z: -0.09832763671875
acceleration - x: -0.98431396484375, y: 0.0357208251953125, z: -0.0979766845703125
acceleration - x: -0.9905548095703125, y: 0.02825927734375, z: -0.1020660400390625
acceleration - x: -0.9850616455078125, y: 0.041473388671875, z: -0.105255126953125
acceleration - x: -0.9820098876953125, y: 0.0522308349609375, z: -0.1056976318359375
acceleration - x: -0.9889678955078125, y: 0.04803466796875, z: -0.1022796630859375
acceleration - x: -0.991729736328125, y: 0.044464111328125, z: -0.0966644287109375
acceleration - x: -0.988433837890625, y: 0.049163818359375, z: -0.093994140625
acceleration - x: -0.98846435546875, y: 0.05718994140625, z: -0.093017578125
acceleration - x: -0.9873504638671875, y: 0.0543365478515625, z: -0.09222412109375
acceleration - x: -0.988555908203125, y: 0.0485992431640625, z: -0.0944061279296875
acceleration - x: -0.9939727783203125, y: 0.058746337890625, z: -0.094024658203125
acceleration - x: -0.9844207763671875, y: 0.049224853515625, z: -0.0965423583984375
acceleration - x: -0.9859161376953125, y: 0.0377197265625, z: -0.0909576416015625
acceleration - x: -0.9937744140625, y: 0.052764892578125, z: -0.0993804931640625
acceleration - x: -0.9820709228515625, y: 0.0462188720703125, z: -0.097686767578125
acceleration - x: -0.98736572265625, y: 0.0420074462890625, z: -0.0971527099609375
acceleration - x: -0.99639892578125, y: 0.0532073974609375, z: -0.1035308837890625
acceleration - x: -0.97918701171875, y: 0.046600341796875, z: -0.1006011962890625
acceleration - x: -0.9852142333984375, y: 0.0363922119140625, z: -0.0934600830078125
acceleration - x: -0.9938201904296875, y: 0.0363311767578125, z: -0.09210205078125
acceleration - x: -0.9887542724609375, y: 0.05291748046875, z: -0.095458984375
acceleration - x: -0.9852447509765625, y: 0.0609588623046875, z: -0.09832763671875
acceleration - x: -0.986236572265625, y: 0.054046630859375, z: -0.1013336181640625
acceleration - x: -0.9932708740234375, y: 0.0550689697265625, z: -0.098388671875
acceleration - x: -0.9825286865234375, y: 0.0515899658203125, z: -0.101318359375
acceleration - x: -0.9928741455078125, y: 0.0543365478515625, z: -0.1011505126953125
acceleration - x: -0.9869842529296875, y: 0.041107177734375, z: -0.09912109375
acceleration - x: -0.986419677734375, y: 0.0372772216796875, z: -0.094696044921875
acceleration - x: -0.9886322021484375, y: 0.041015625, z: -0.0985870361328125
acceleration - x: -0.98681640625, y: 0.038299560546875, z: -0.09417724609375
acceleration - x: -0.989654541015625, y: 0.053924560546875, z: -0.1023101806640625
acceleration - x: -0.98492431640625, y: 0.0621337890625, z: -0.0971832275390625
acceleration - x: -0.98504638671875, y: 0.041351318359375, z: -0.092315673828125
acceleration - x: -0.99371337890625, y: 0.04290771484375, z: -0.094879150390625
acceleration - x: -0.9879913330078125, y: 0.0597991943359375, z: -0.0988311767578125
acceleration - x: -0.9869537353515625, y: 0.063232421875, z: -0.09722900390625
acceleration - x: -0.9876251220703125, y: 0.0431060791015625, z: -0.0949859619140625
acceleration - x: -0.987030029296875, y: 0.0332794189453125, z: -0.09033203125
acceleration - x: -0.9915313720703125, y: 0.0495758056640625, z: -0.0965576171875
acceleration - x: -0.9843597412109375, y: 0.057098388671875, z: -0.0992431640625
acceleration - x: -0.98846435546875, y: 0.0378265380859375, z: -0.095458984375
acceleration - x: -0.98846435546875, y: 0.0378265380859375, z: -0.095458984375
acceleration - x: -0.98760986328125, y: 0.0520477294921875, z: -0.1023406982421875
acceleration - x: -0.9873504638671875, y: 0.0511474609375, z: -0.0986328125
acceleration - x: -0.98858642578125, y: 0.0429534912109375, z: -0.0959014892578125
acceleration - x: -0.98858642578125, y: 0.0429534912109375, z: -0.0959014892578125
acceleration - x: -0.9873809814453125, y: 0.0479583740234375, z: -0.0971832275390625
acceleration - x: -0.98760986328125, y: 0.0623626708984375, z: -0.0992584228515625
acceleration - x: -0.98846435546875, y: 0.055023193359375, z: -0.0978851318359375
acceleration - x: -0.98846435546875, y: 0.055023193359375, z: -0.0978851318359375
acceleration - x: -0.99017333984375, y: 0.0465087890625, z: -0.100189208984375
acceleration - x: -0.986297607421875, y: 0.0561370849609375, z: -0.100921630859375
acceleration - x: -0.9858245849609375, y: 0.0471343994140625, z: -0.0977935791015625
acceleration - x: -0.9896087646484375, y: 0.034881591796875, z: -0.0943145751953125
acceleration - x: -0.98944091796875, y: 0.044769287109375, z: -0.09661865234375
acceleration - x: -0.98712158203125, y: 0.0531005859375, z: -0.0947265625
acceleration - x: -0.98724365234375, y: 0.052978515625, z: -0.0907135009765625
acceleration - x: -0.9927825927734375, y: 0.0508880615234375, z: -0.0921630859375
acceleration - x: -0.9858856201171875, y: 0.0473480224609375, z: -0.091552734375
acceleration - x: -0.98876953125, y: 0.05023193359375, z: -0.0984649658203125
acceleration - x: -0.9917144775390625, y: 0.06365966796875, z: -0.09765625
acceleration - x: -0.984100341796875, y: 0.052581787109375, z: -0.0986175537109375
acceleration - x: -0.9875640869140625, y: 0.03863525390625, z: -0.10162353515625
acceleration - x: -0.989166259765625, y: 0.042449951171875, z: -0.1011810302734375
acceleration - x: -0.9844207763671875, y: 0.04632568359375, z: -0.1007232666015625
acceleration - x: -0.9902496337890625, y: 0.053131103515625, z: -0.099029541015625
acceleration - x: -0.9878692626953125, y: 0.0542449951171875, z: -0.0970916748046875
acceleration - x: -0.98590087890625, y: 0.05023193359375, z: -0.092742919921875
