session state change to: 2 from 1
acceleration - x: -0.4156494140625, y: 0.43572998046875, z: -0.314910888671875
acceleration - x: -0.485565185546875, y: 0.3910064697265625, z: -0.2706298828125
acceleration - x: -0.5568084716796875, y: 0.408416748046875, z: -0.290435791015625
acceleration - x: -0.600067138671875, y: 0.4575958251953125, z: -0.2240447998046875
acceleration - x: -0.62567138671875, y: 0.4879302978515625, z: -0.17706298828125
acceleration - x: -0.6661529541015625, y: 0.4342041015625, z: -0.015472412109375
acceleration - x: -0.7249603271484375, y: 0.34796142578125, z: 0.095794677734375
acceleration - x: -0.7772674560546875, y: 0.273193359375, z: 0.1540985107421875
acceleration - x: -0.7704925537109375, y: 0.2801971435546875, z: 0.157012939453125
acceleration - x: -0.7536163330078125, y: 0.32220458984375, z: 0.1837158203125
acceleration - x: -0.7932281494140625, y: 0.3082122802734375, z: 0.3044586181640625
acceleration - x: -0.8506622314453125, y: 0.19781494140625, z: 0.459197998046875
acceleration - x: -0.8518218994140625, y: -0.002349853515625, z: 0.572235107421875
acceleration - x: -0.807769775390625, y: -0.1331329345703125, z: 0.6074676513671875
acceleration - x: -0.784454345703125, y: -0.1183624267578125, z: 0.5989837646484375
acceleration - x: -0.838653564453125, y: -0.0635223388671875, z: 0.6766357421875
acceleration - x: -0.9012603759765625, y: -0.0140533447265625, z: 0.689422607421875
acceleration - x: -0.8971710205078125, y: -0.0316162109375, z: 0.718292236328125
acceleration - x: -0.862396240234375, y: -0.0702362060546875, z: 0.74957275390625
acceleration - x: -0.8359832763671875, y: -0.0980072021484375, z: 0.7563018798828125
acceleration - x: -0.841094970703125, y: -0.09393310546875, z: 0.74945068359375
acceleration - x: -0.8527984619140625, y: -0.08465576171875, z: 0.7376556396484375
acceleration - x: -0.848358154296875, y: -0.0868072509765625, z: 0.7110443115234375
acceleration - x: -0.853363037109375, y: -0.080810546875, z: 0.667755126953125
acceleration - x: -0.8528594970703125, y: -0.0631256103515625, z: 0.6339874267578125
acceleration - x: -0.853271484375, y: -0.03167724609375, z: 0.5860748291015625
acceleration - x: -0.8531951904296875, y: 0.0445556640625, z: 0.5264892578125
acceleration - x: -0.8531951904296875, y: 0.0445556640625, z: 0.5264892578125
acceleration - x: -0.8489837646484375, y: 0.0964813232421875, z: 0.489013671875
acceleration - x: -0.8533172607421875, y: 0.17510986328125, z: 0.4169769287109375
acceleration - x: -0.8509063720703125, y: 0.17889404296875, z: 0.38836669921875
